,image,label
1938,E:/kiet files/4 semister/csv files/emotion detection/train/neutral\Training_53188193.jpg,neutral
1939,E:/kiet files/4 semister/csv files/emotion detection/train/fear\Training_8016079.jpg,fear
1940,E:/kiet files/4 semister/csv files/emotion detection/train/fear\Training_50016535.jpg,fear
1941,E:/kiet files/4 semister/csv files/emotion detection/train/angry\Training_35803006.jpg,angry
1942,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_90114457.jpg,happy
1943,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_87355987.jpg,happy
1944,E:/kiet files/4 semister/csv files/emotion detection/train/sad\Training_63574486.jpg,sad
1945,E:/kiet files/4 semister/csv files/emotion detection/train/sad\Training_47188583.jpg,sad
1946,E:/kiet files/4 semister/csv files/emotion detection/train/sad\Training_24700736.jpg,sad
1947,E:/kiet files/4 semister/csv files/emotion detection/train/fear\Training_61597580.jpg,fear
1948,E:/kiet files/4 semister/csv files/emotion detection/train/angry\Training_54730806.jpg,angry
1949,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_87209094.jpg,happy
1950,E:/kiet files/4 semister/csv files/emotion detection/train/surprise\Training_92479434.jpg,surprise
1951,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_63816018.jpg,happy
1952,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_11793477.jpg,happy
1953,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_28907348.jpg,happy
1954,E:/kiet files/4 semister/csv files/emotion detection/train/sad\Training_71554470.jpg,sad
1955,E:/kiet files/4 semister/csv files/emotion detection/train/surprise\Training_1009179.jpg,surprise
1956,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_3720083.jpg,happy
1957,E:/kiet files/4 semister/csv files/emotion detection/train/surprise\Training_3898286.jpg,surprise
1958,E:/kiet files/4 semister/csv files/emotion detection/train/angry\Training_24890384.jpg,angry
1959,E:/kiet files/4 semister/csv files/emotion detection/train/angry\Training_1924056.jpg,angry
1960,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_13549997.jpg,happy
1961,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_65599205.jpg,happy
1962,E:/kiet files/4 semister/csv files/emotion detection/train/neutral\Training_40670941.jpg,neutral
1963,E:/kiet files/4 semister/csv files/emotion detection/train/angry\Training_72365091.jpg,angry
1964,E:/kiet files/4 semister/csv files/emotion detection/train/angry\Training_58651003.jpg,angry
1965,E:/kiet files/4 semister/csv files/emotion detection/train/neutral\Training_44106541.jpg,neutral
1966,E:/kiet files/4 semister/csv files/emotion detection/train/fear\Training_23486005.jpg,fear
1967,E:/kiet files/4 semister/csv files/emotion detection/train/neutral\Training_55281931.jpg,neutral
1968,E:/kiet files/4 semister/csv files/emotion detection/train/fear\Training_20448492.jpg,fear
1969,E:/kiet files/4 semister/csv files/emotion detection/train/sad\Training_93256665.jpg,sad
1970,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_62002819.jpg,happy
1971,E:/kiet files/4 semister/csv files/emotion detection/train/sad\Training_65404494.jpg,sad
1972,E:/kiet files/4 semister/csv files/emotion detection/train/angry\Training_5915591.jpg,angry
1973,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_65966305.jpg,happy
1974,E:/kiet files/4 semister/csv files/emotion detection/train/sad\Training_60632018.jpg,sad
1975,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_26074009.jpg,happy
1976,E:/kiet files/4 semister/csv files/emotion detection/train/angry\Training_31029069.jpg,angry
1977,E:/kiet files/4 semister/csv files/emotion detection/train/fear\Training_94346154.jpg,fear
1978,E:/kiet files/4 semister/csv files/emotion detection/train/angry\Training_54746320.jpg,angry
1979,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_58106874.jpg,happy
1980,E:/kiet files/4 semister/csv files/emotion detection/train/surprise\Training_46422517.jpg,surprise
1981,E:/kiet files/4 semister/csv files/emotion detection/train/surprise\Training_11879580.jpg,surprise
1982,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_21135128.jpg,happy
1983,E:/kiet files/4 semister/csv files/emotion detection/train/surprise\Training_77329193.jpg,surprise
1984,E:/kiet files/4 semister/csv files/emotion detection/train/neutral\Training_48255356.jpg,neutral
1985,E:/kiet files/4 semister/csv files/emotion detection/train/neutral\Training_70947641.jpg,neutral
1986,E:/kiet files/4 semister/csv files/emotion detection/train/fear\Training_59008714.jpg,fear
1987,E:/kiet files/4 semister/csv files/emotion detection/train/fear\Training_48853322.jpg,fear
1988,E:/kiet files/4 semister/csv files/emotion detection/train/sad\Training_84870227.jpg,sad
1989,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_43344228.jpg,happy
1990,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_95274703.jpg,happy
1991,E:/kiet files/4 semister/csv files/emotion detection/train/angry\Training_95126714.jpg,angry
1992,E:/kiet files/4 semister/csv files/emotion detection/train/sad\Training_16287379.jpg,sad
1993,E:/kiet files/4 semister/csv files/emotion detection/train/disgust\Training_7383909.jpg,disgust
1994,E:/kiet files/4 semister/csv files/emotion detection/train/neutral\Training_87214996.jpg,neutral
1995,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_43203416.jpg,happy
1996,E:/kiet files/4 semister/csv files/emotion detection/train/neutral\Training_67515013.jpg,neutral
1997,E:/kiet files/4 semister/csv files/emotion detection/train/fear\Training_9911518.jpg,fear
1998,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_41998278.jpg,happy
1999,E:/kiet files/4 semister/csv files/emotion detection/train/surprise\Training_16429211.jpg,surprise
2000,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_4759204.jpg,happy
2001,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_92125676.jpg,happy
2002,E:/kiet files/4 semister/csv files/emotion detection/train/angry\Training_70632589.jpg,angry
2003,E:/kiet files/4 semister/csv files/emotion detection/train/neutral\Training_20047590.jpg,neutral
2004,E:/kiet files/4 semister/csv files/emotion detection/train/neutral\Training_55639480.jpg,neutral
2005,E:/kiet files/4 semister/csv files/emotion detection/train/sad\Training_13617075.jpg,sad
2006,E:/kiet files/4 semister/csv files/emotion detection/train/fear\Training_65365689.jpg,fear
2007,E:/kiet files/4 semister/csv files/emotion detection/train/sad\Training_31372139.jpg,sad
2008,E:/kiet files/4 semister/csv files/emotion detection/train/neutral\Training_93865180.jpg,neutral
2009,E:/kiet files/4 semister/csv files/emotion detection/train/neutral\Training_44355018.jpg,neutral
2010,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_61474993.jpg,happy
2011,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_95636090.jpg,happy
2012,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_68369504.jpg,happy
2013,E:/kiet files/4 semister/csv files/emotion detection/train/neutral\Training_62868031.jpg,neutral
2014,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_40630936.jpg,happy
2015,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_5568827.jpg,happy
2016,E:/kiet files/4 semister/csv files/emotion detection/train/surprise\Training_94872292.jpg,surprise
2017,E:/kiet files/4 semister/csv files/emotion detection/train/sad\Training_52423914.jpg,sad
2018,E:/kiet files/4 semister/csv files/emotion detection/train/sad\Training_14187050.jpg,sad
2019,E:/kiet files/4 semister/csv files/emotion detection/train/neutral\Training_35504174.jpg,neutral
2020,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_33705247.jpg,happy
2021,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_7845176.jpg,happy
2022,E:/kiet files/4 semister/csv files/emotion detection/train/sad\Training_69241506.jpg,sad
2023,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_54759303.jpg,happy
2024,E:/kiet files/4 semister/csv files/emotion detection/train/angry\Training_43370834.jpg,angry
2025,E:/kiet files/4 semister/csv files/emotion detection/train/sad\Training_41558661.jpg,sad
2026,E:/kiet files/4 semister/csv files/emotion detection/train/surprise\Training_7913295.jpg,surprise
2027,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_57285879.jpg,happy
2028,E:/kiet files/4 semister/csv files/emotion detection/train/disgust\Training_92587210.jpg,disgust
2029,E:/kiet files/4 semister/csv files/emotion detection/train/sad\Training_15851328.jpg,sad
2030,E:/kiet files/4 semister/csv files/emotion detection/train/angry\Training_62364164.jpg,angry
2031,E:/kiet files/4 semister/csv files/emotion detection/train/fear\Training_79911071.jpg,fear
2032,E:/kiet files/4 semister/csv files/emotion detection/train/fear\Training_71683349.jpg,fear
2033,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_76557019.jpg,happy
2034,E:/kiet files/4 semister/csv files/emotion detection/train/angry\Training_36395815.jpg,angry
2035,E:/kiet files/4 semister/csv files/emotion detection/train/angry\Training_61913048.jpg,angry
2036,E:/kiet files/4 semister/csv files/emotion detection/train/fear\Training_69535836.jpg,fear
2037,E:/kiet files/4 semister/csv files/emotion detection/train/fear\Training_4804193.jpg,fear
2038,E:/kiet files/4 semister/csv files/emotion detection/train/surprise\Training_359386.jpg,surprise
2039,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_66945567.jpg,happy
2040,E:/kiet files/4 semister/csv files/emotion detection/train/neutral\Training_23256509.jpg,neutral
2041,E:/kiet files/4 semister/csv files/emotion detection/train/fear\Training_92904219.jpg,fear
2042,E:/kiet files/4 semister/csv files/emotion detection/train/sad\Training_40023543.jpg,sad
2043,E:/kiet files/4 semister/csv files/emotion detection/train/sad\Training_63146480.jpg,sad
2044,E:/kiet files/4 semister/csv files/emotion detection/train/sad\Training_97591957.jpg,sad
2045,E:/kiet files/4 semister/csv files/emotion detection/train/fear\Training_1576319.jpg,fear
2046,E:/kiet files/4 semister/csv files/emotion detection/train/angry\Training_7336250.jpg,angry
2047,E:/kiet files/4 semister/csv files/emotion detection/train/sad\Training_75618319.jpg,sad
2048,E:/kiet files/4 semister/csv files/emotion detection/train/angry\Training_23447931.jpg,angry
2049,E:/kiet files/4 semister/csv files/emotion detection/train/fear\Training_69702472.jpg,fear
2050,E:/kiet files/4 semister/csv files/emotion detection/train/angry\Training_36816185.jpg,angry
2051,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_24411898.jpg,happy
2052,E:/kiet files/4 semister/csv files/emotion detection/train/sad\Training_53412186.jpg,sad
2053,E:/kiet files/4 semister/csv files/emotion detection/train/angry\Training_24978929.jpg,angry
2054,E:/kiet files/4 semister/csv files/emotion detection/train/angry\Training_34114883.jpg,angry
2055,E:/kiet files/4 semister/csv files/emotion detection/train/fear\Training_34802411.jpg,fear
2056,E:/kiet files/4 semister/csv files/emotion detection/train/neutral\Training_91713812.jpg,neutral
2057,E:/kiet files/4 semister/csv files/emotion detection/train/fear\Training_77336990.jpg,fear
2058,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_32299959.jpg,happy
2059,E:/kiet files/4 semister/csv files/emotion detection/train/fear\Training_56120122.jpg,fear
2060,E:/kiet files/4 semister/csv files/emotion detection/train/sad\Training_16291080.jpg,sad
2061,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_35877462.jpg,happy
2062,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_71513416.jpg,happy
2063,E:/kiet files/4 semister/csv files/emotion detection/train/neutral\Training_59789683.jpg,neutral
2064,E:/kiet files/4 semister/csv files/emotion detection/train/angry\Training_12686673.jpg,angry
2065,E:/kiet files/4 semister/csv files/emotion detection/train/surprise\Training_23420854.jpg,surprise
2066,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_78170044.jpg,happy
2067,E:/kiet files/4 semister/csv files/emotion detection/train/angry\Training_60293623.jpg,angry
2068,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_33321002.jpg,happy
2069,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_65407995.jpg,happy
2070,E:/kiet files/4 semister/csv files/emotion detection/train/sad\Training_82575931.jpg,sad
2071,E:/kiet files/4 semister/csv files/emotion detection/train/angry\Training_12095988.jpg,angry
2072,E:/kiet files/4 semister/csv files/emotion detection/train/fear\Training_44502752.jpg,fear
2073,E:/kiet files/4 semister/csv files/emotion detection/train/surprise\Training_14647859.jpg,surprise
2074,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_99413386.jpg,happy
2075,E:/kiet files/4 semister/csv files/emotion detection/train/sad\Training_40050250.jpg,sad
2076,E:/kiet files/4 semister/csv files/emotion detection/train/neutral\Training_45058300.jpg,neutral
2077,E:/kiet files/4 semister/csv files/emotion detection/train/fear\Training_93522834.jpg,fear
2078,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_48219802.jpg,happy
2079,E:/kiet files/4 semister/csv files/emotion detection/train/surprise\Training_75439903.jpg,surprise
2080,E:/kiet files/4 semister/csv files/emotion detection/train/sad\Training_43072545.jpg,sad
2081,E:/kiet files/4 semister/csv files/emotion detection/train/sad\Training_97527245.jpg,sad
2082,E:/kiet files/4 semister/csv files/emotion detection/train/neutral\Training_86343668.jpg,neutral
2083,E:/kiet files/4 semister/csv files/emotion detection/train/angry\Training_73677822.jpg,angry
2084,E:/kiet files/4 semister/csv files/emotion detection/train/sad\Training_46455412.jpg,sad
2085,E:/kiet files/4 semister/csv files/emotion detection/train/neutral\Training_53612056.jpg,neutral
2086,E:/kiet files/4 semister/csv files/emotion detection/train/surprise\Training_69707943.jpg,surprise
2087,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_24757308.jpg,happy
2088,E:/kiet files/4 semister/csv files/emotion detection/train/fear\Training_22712938.jpg,fear
2089,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_58331898.jpg,happy
2090,E:/kiet files/4 semister/csv files/emotion detection/train/fear\Training_52067174.jpg,fear
2091,E:/kiet files/4 semister/csv files/emotion detection/train/sad\Training_13672852.jpg,sad
2092,E:/kiet files/4 semister/csv files/emotion detection/train/angry\Training_94821976.jpg,angry
2093,E:/kiet files/4 semister/csv files/emotion detection/train/neutral\Training_63045086.jpg,neutral
2094,E:/kiet files/4 semister/csv files/emotion detection/train/neutral\Training_5177012.jpg,neutral
2095,E:/kiet files/4 semister/csv files/emotion detection/train/neutral\Training_76582532.jpg,neutral
2096,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_77508229.jpg,happy
2097,E:/kiet files/4 semister/csv files/emotion detection/train/sad\Training_58003367.jpg,sad
2098,E:/kiet files/4 semister/csv files/emotion detection/train/angry\Training_5237890.jpg,angry
2099,E:/kiet files/4 semister/csv files/emotion detection/train/disgust\Training_25421729.jpg,disgust
2100,E:/kiet files/4 semister/csv files/emotion detection/train/angry\Training_76437888.jpg,angry
2101,E:/kiet files/4 semister/csv files/emotion detection/train/surprise\Training_53566216.jpg,surprise
2102,E:/kiet files/4 semister/csv files/emotion detection/train/angry\Training_30181836.jpg,angry
2103,E:/kiet files/4 semister/csv files/emotion detection/train/angry\Training_34273701.jpg,angry
2104,E:/kiet files/4 semister/csv files/emotion detection/train/surprise\Training_89517922.jpg,surprise
2105,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_20158201.jpg,happy
2106,E:/kiet files/4 semister/csv files/emotion detection/train/neutral\Training_69552781.jpg,neutral
2107,E:/kiet files/4 semister/csv files/emotion detection/train/sad\Training_17293283.jpg,sad
2108,E:/kiet files/4 semister/csv files/emotion detection/train/fear\Training_72562583.jpg,fear
2109,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_42120585.jpg,happy
2110,E:/kiet files/4 semister/csv files/emotion detection/train/neutral\Training_40714909.jpg,neutral
2111,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_26864861.jpg,happy
2112,E:/kiet files/4 semister/csv files/emotion detection/train/sad\Training_35411957.jpg,sad
2113,E:/kiet files/4 semister/csv files/emotion detection/train/angry\Training_17114283.jpg,angry
2114,E:/kiet files/4 semister/csv files/emotion detection/train/angry\Training_46395542.jpg,angry
2115,E:/kiet files/4 semister/csv files/emotion detection/train/angry\Training_35092482.jpg,angry
2116,E:/kiet files/4 semister/csv files/emotion detection/train/fear\Training_78779278.jpg,fear
2117,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_85066738.jpg,happy
2118,E:/kiet files/4 semister/csv files/emotion detection/train/angry\Training_29828444.jpg,angry
2119,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_26972626.jpg,happy
2120,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_24064637.jpg,happy
2121,E:/kiet files/4 semister/csv files/emotion detection/train/fear\Training_11961883.jpg,fear
2122,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_6251569.jpg,happy
2123,E:/kiet files/4 semister/csv files/emotion detection/train/angry\Training_13081843.jpg,angry
2124,E:/kiet files/4 semister/csv files/emotion detection/train/fear\Training_18468584.jpg,fear
2125,E:/kiet files/4 semister/csv files/emotion detection/train/sad\Training_90092982.jpg,sad
2126,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_85930145.jpg,happy
2127,E:/kiet files/4 semister/csv files/emotion detection/train/angry\Training_89255724.jpg,angry
2128,E:/kiet files/4 semister/csv files/emotion detection/train/angry\Training_17201713.jpg,angry
2129,E:/kiet files/4 semister/csv files/emotion detection/train/sad\Training_2243502.jpg,sad
2130,E:/kiet files/4 semister/csv files/emotion detection/train/sad\Training_55852652.jpg,sad
2131,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_31363556.jpg,happy
2132,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_56337943.jpg,happy
2133,E:/kiet files/4 semister/csv files/emotion detection/train/angry\Training_11940623.jpg,angry
2134,E:/kiet files/4 semister/csv files/emotion detection/train/neutral\Training_57801853.jpg,neutral
2135,E:/kiet files/4 semister/csv files/emotion detection/train/fear\Training_51219003.jpg,fear
2136,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_72816635.jpg,happy
2137,E:/kiet files/4 semister/csv files/emotion detection/train/fear\Training_36137585.jpg,fear
2138,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_99905741.jpg,happy
2139,E:/kiet files/4 semister/csv files/emotion detection/train/fear\Training_57817116.jpg,fear
2140,E:/kiet files/4 semister/csv files/emotion detection/train/sad\Training_80116947.jpg,sad
2141,E:/kiet files/4 semister/csv files/emotion detection/train/angry\Training_21623038.jpg,angry
2142,E:/kiet files/4 semister/csv files/emotion detection/train/neutral\Training_29250647.jpg,neutral
2143,E:/kiet files/4 semister/csv files/emotion detection/train/neutral\Training_94175819.jpg,neutral
2144,E:/kiet files/4 semister/csv files/emotion detection/train/angry\Training_37859229.jpg,angry
2145,E:/kiet files/4 semister/csv files/emotion detection/train/fear\Training_22486258.jpg,fear
2146,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_78775309.jpg,happy
2147,E:/kiet files/4 semister/csv files/emotion detection/train/sad\Training_23882155.jpg,sad
2148,E:/kiet files/4 semister/csv files/emotion detection/train/neutral\Training_90719934.jpg,neutral
2149,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_65079515.jpg,happy
2150,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_51560985.jpg,happy
2151,E:/kiet files/4 semister/csv files/emotion detection/train/fear\Training_31841601.jpg,fear
2152,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_76678690.jpg,happy
2153,E:/kiet files/4 semister/csv files/emotion detection/train/surprise\Training_55504368.jpg,surprise
2154,E:/kiet files/4 semister/csv files/emotion detection/train/fear\Training_5970662.jpg,fear
2155,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_96969801.jpg,happy
2156,E:/kiet files/4 semister/csv files/emotion detection/train/sad\Training_37806230.jpg,sad
2157,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_74669901.jpg,happy
2158,E:/kiet files/4 semister/csv files/emotion detection/train/neutral\Training_98985854.jpg,neutral
2159,E:/kiet files/4 semister/csv files/emotion detection/train/sad\Training_86376977.jpg,sad
2160,E:/kiet files/4 semister/csv files/emotion detection/train/fear\Training_68902307.jpg,fear
2161,E:/kiet files/4 semister/csv files/emotion detection/train/fear\Training_58979675.jpg,fear
2162,E:/kiet files/4 semister/csv files/emotion detection/train/angry\Training_64002134.jpg,angry
2163,E:/kiet files/4 semister/csv files/emotion detection/train/sad\Training_84372983.jpg,sad
2164,E:/kiet files/4 semister/csv files/emotion detection/train/neutral\Training_15566832.jpg,neutral
2165,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_46933826.jpg,happy
2166,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_55543942.jpg,happy
2167,E:/kiet files/4 semister/csv files/emotion detection/train/sad\Training_23978534.jpg,sad
2168,E:/kiet files/4 semister/csv files/emotion detection/train/sad\Training_54965855.jpg,sad
2169,E:/kiet files/4 semister/csv files/emotion detection/train/surprise\Training_16312071.jpg,surprise
2170,E:/kiet files/4 semister/csv files/emotion detection/train/angry\Training_6154191.jpg,angry
2171,E:/kiet files/4 semister/csv files/emotion detection/train/sad\Training_36128521.jpg,sad
2172,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_54399652.jpg,happy
2173,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_44807168.jpg,happy
2174,E:/kiet files/4 semister/csv files/emotion detection/train/angry\Training_33063611.jpg,angry
2175,E:/kiet files/4 semister/csv files/emotion detection/train/sad\Training_72581485.jpg,sad
2176,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_60957921.jpg,happy
2177,E:/kiet files/4 semister/csv files/emotion detection/train/surprise\Training_67422597.jpg,surprise
2178,E:/kiet files/4 semister/csv files/emotion detection/train/surprise\Training_34649530.jpg,surprise
2179,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_13786156.jpg,happy
2180,E:/kiet files/4 semister/csv files/emotion detection/train/neutral\Training_44701953.jpg,neutral
2181,E:/kiet files/4 semister/csv files/emotion detection/train/neutral\Training_95644104.jpg,neutral
2182,E:/kiet files/4 semister/csv files/emotion detection/train/angry\Training_98612653.jpg,angry
2183,E:/kiet files/4 semister/csv files/emotion detection/train/angry\Training_78179372.jpg,angry
2184,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_12042743.jpg,happy
2185,E:/kiet files/4 semister/csv files/emotion detection/train/neutral\Training_89843288.jpg,neutral
2186,E:/kiet files/4 semister/csv files/emotion detection/train/angry\Training_75941788.jpg,angry
2187,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_46888260.jpg,happy
2188,E:/kiet files/4 semister/csv files/emotion detection/train/neutral\Training_58562076.jpg,neutral
2189,E:/kiet files/4 semister/csv files/emotion detection/train/sad\Training_14684458.jpg,sad
2190,E:/kiet files/4 semister/csv files/emotion detection/train/sad\Training_28843921.jpg,sad
2191,E:/kiet files/4 semister/csv files/emotion detection/train/neutral\Training_72778923.jpg,neutral
2192,E:/kiet files/4 semister/csv files/emotion detection/train/neutral\Training_4962486.jpg,neutral
2193,E:/kiet files/4 semister/csv files/emotion detection/train/neutral\Training_77165599.jpg,neutral
2194,E:/kiet files/4 semister/csv files/emotion detection/train/surprise\Training_55932250.jpg,surprise
2195,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_59339509.jpg,happy
2196,E:/kiet files/4 semister/csv files/emotion detection/train/sad\Training_99848289.jpg,sad
2197,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_66764737.jpg,happy
2198,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_55624858.jpg,happy
2199,E:/kiet files/4 semister/csv files/emotion detection/train/surprise\Training_5047354.jpg,surprise
2200,E:/kiet files/4 semister/csv files/emotion detection/train/fear\Training_69727827.jpg,fear
2201,E:/kiet files/4 semister/csv files/emotion detection/train/surprise\Training_11574459.jpg,surprise
2202,E:/kiet files/4 semister/csv files/emotion detection/train/fear\Training_43703188.jpg,fear
2203,E:/kiet files/4 semister/csv files/emotion detection/train/fear\Training_8093311.jpg,fear
2204,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_59054945.jpg,happy
2205,E:/kiet files/4 semister/csv files/emotion detection/train/fear\Training_13806610.jpg,fear
2206,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_69151239.jpg,happy
2207,E:/kiet files/4 semister/csv files/emotion detection/train/surprise\Training_66206337.jpg,surprise
2208,E:/kiet files/4 semister/csv files/emotion detection/train/fear\Training_36449368.jpg,fear
2209,E:/kiet files/4 semister/csv files/emotion detection/train/sad\Training_95819643.jpg,sad
2210,E:/kiet files/4 semister/csv files/emotion detection/train/neutral\Training_84651689.jpg,neutral
2211,E:/kiet files/4 semister/csv files/emotion detection/train/surprise\Training_93625113.jpg,surprise
2212,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_69085132.jpg,happy
2213,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_62335429.jpg,happy
2214,E:/kiet files/4 semister/csv files/emotion detection/train/neutral\Training_69706052.jpg,neutral
2215,E:/kiet files/4 semister/csv files/emotion detection/train/neutral\Training_93911083.jpg,neutral
2216,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_42820422.jpg,happy
2217,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_59835139.jpg,happy
2218,E:/kiet files/4 semister/csv files/emotion detection/train/neutral\Training_56017244.jpg,neutral
2219,E:/kiet files/4 semister/csv files/emotion detection/train/fear\Training_66935602.jpg,fear
2220,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_5156875.jpg,happy
2221,E:/kiet files/4 semister/csv files/emotion detection/train/fear\Training_42198912.jpg,fear
2222,E:/kiet files/4 semister/csv files/emotion detection/train/angry\Training_96497363.jpg,angry
2223,E:/kiet files/4 semister/csv files/emotion detection/train/disgust\Training_33820609.jpg,disgust
2224,E:/kiet files/4 semister/csv files/emotion detection/train/neutral\Training_51664331.jpg,neutral
2225,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_54027154.jpg,happy
2226,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_75086408.jpg,happy
2227,E:/kiet files/4 semister/csv files/emotion detection/train/angry\Training_58947716.jpg,angry
2228,E:/kiet files/4 semister/csv files/emotion detection/train/surprise\Training_40246769.jpg,surprise
2229,E:/kiet files/4 semister/csv files/emotion detection/train/neutral\Training_46294696.jpg,neutral
2230,E:/kiet files/4 semister/csv files/emotion detection/train/surprise\Training_70784451.jpg,surprise
2231,E:/kiet files/4 semister/csv files/emotion detection/train/neutral\Training_55205506.jpg,neutral
2232,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_94152966.jpg,happy
2233,E:/kiet files/4 semister/csv files/emotion detection/train/fear\Training_14007675.jpg,fear
2234,E:/kiet files/4 semister/csv files/emotion detection/train/sad\Training_627872.jpg,sad
2235,E:/kiet files/4 semister/csv files/emotion detection/train/disgust\Training_92542568.jpg,disgust
2236,E:/kiet files/4 semister/csv files/emotion detection/train/angry\Training_70299484.jpg,angry
2237,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_42637240.jpg,happy
2238,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_25768878.jpg,happy
2239,E:/kiet files/4 semister/csv files/emotion detection/train/disgust\Training_79721044.jpg,disgust
2240,E:/kiet files/4 semister/csv files/emotion detection/train/sad\Training_8244479.jpg,sad
2241,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_24306769.jpg,happy
2242,E:/kiet files/4 semister/csv files/emotion detection/train/fear\Training_24692899.jpg,fear
2243,E:/kiet files/4 semister/csv files/emotion detection/train/neutral\Training_95304553.jpg,neutral
2244,E:/kiet files/4 semister/csv files/emotion detection/train/fear\Training_44651754.jpg,fear
